geoid,total_16plus,total_16to19,total_20to24,total_25to54,total_55to64,total_65plus,inLaborForce_16to19,inLaborForce_20to24,inLaborForce_25to54,inLaborForce_55to64,inLaborForce_65plus,outLaborForce_16to19,outLaborForce_20to24,outLaborForce_25to54,outLaborForce_55to64,outLaborForce_65plus,Employed_16to19,Employed_20to24,Employed_25to54,Employed_55to64,EmployedMilitary_16to19,EmployedMilitary_20to24,EmployedMilitary_25to54,EmployedMilitary_55to64,Unemployed_16to19,Unemployed_20to24,Unemployed_25to54,Unemployed_55to64
39103,138077.0,9206.0,8839.0,69751.0,24304.0,25977.0,4797.0,7604.0,60155.0,16207.0,4854.0,4409.0,1235.0,9596.0,8097.0,21123.0,4231.0,6911.0,57599.0,15537.0,13.0,4.0,35.0,9.0,553.0,689.0,2521.0,661.0
39105,18891.0,1119.0,1251.0,8989.0,3541.0,3991.0,432.0,833.0,6677.0,1678.0,353.0,687.0,418.0,2312.0,1863.0,3638.0,348.0,550.0,5992.0,1535.0,0.0,0.0,0.0,0.0,84.0,283.0,685.0,143.0
39107,31707.0,2313.0,2284.0,14727.0,5690.0,6693.0,1298.0,2119.0,13276.0,4089.0,893.0,1015.0,165.0,1451.0,1601.0,5800.0,1059.0,1835.0,12680.0,4012.0,0.0,0.0,0.0,0.0,239.0,284.0,596.0,77.0
39109,82033.0,5098.0,5467.0,39703.0,14469.0,17296.0,2605.0,4455.0,33400.0,9860.0,2999.0,2493.0,1012.0,6303.0,4609.0,14297.0,1662.0,3856.0,31290.0,9496.0,0.0,14.0,52.0,0.0,943.0,585.0,2058.0,364.0
39111,11802.0,647.0,693.0,5115.0,2241.0,3106.0,177.0,533.0,3764.0,1131.0,411.0,470.0,160.0,1351.0,1110.0,2695.0,139.0,451.0,3529.0,1069.0,0.0,0.0,0.0,0.0,38.0,82.0,235.0,62.0
39113,426467.0,27035.0,37019.0,204847.0,70979.0,86587.0,11513.0,27934.0,165445.0,44411.0,13795.0,15522.0,9085.0,39402.0,26568.0,72792.0,8066.0,23364.0,149933.0,42109.0,5.0,271.0,1478.0,0.0,3442.0,4299.0,14034.0,2302.0
39115,12049.0,805.0,796.0,5414.0,2254.0,2780.0,326.0,475.0,4034.0,1156.0,274.0,479.0,321.0,1380.0,1098.0,2506.0,241.0,449.0,3619.0,1096.0,0.0,1.0,7.0,0.0,85.0,25.0,408.0,60.0
39117,27420.0,1865.0,1841.0,13358.0,5093.0,5263.0,737.0,1468.0,11194.0,3034.0,910.0,1128.0,373.0,2164.0,2059.0,4353.0,550.0,1204.0,10502.0,2955.0,0.0,0.0,28.0,0.0,187.0,264.0,664.0,79.0
39119,68468.0,4803.0,5716.0,32207.0,11742.0,14e3,1868.0,4501.0,25947.0,6814.0,1816.0,2935.0,1215.0,6260.0,4928.0,12184.0,1531.0,3890.0,23954.0,6393.0,0.0,3.0,40.0,0.0,337.0,608.0,1953.0,421.0
39121,12642.0,382.0,957.0,5124.0,2945.0,3234.0,179.0,414.0,2460.0,1583.0,356.0,203.0,543.0,2664.0,1362.0,2878.0,135.0,368.0,2293.0,1502.0,0.0,0.0,4.0,0.0,44.0,46.0,163.0,81.0
39123,34073.0,1887.0,1899.0,14577.0,6991.0,8719.0,867.0,1526.0,12345.0,4560.0,1398.0,1020.0,373.0,2232.0,2431.0,7321.0,729.0,1344.0,11744.0,4384.0,0.0,0.0,16.0,0.0,138.0,182.0,585.0,176.0
39125,15130.0,991.0,987.0,7254.0,2766.0,3132.0,428.0,844.0,5925.0,1723.0,348.0,563.0,143.0,1329.0,1043.0,2784.0,338.0,747.0,5584.0,1623.0,6.0,0.0,9.0,0.0,84.0,97.0,332.0,100.0
39127,28191.0,1879.0,2194.0,13987.0,4912.0,5219.0,552.0,1503.0,10668.0,2872.0,616.0,1327.0,691.0,3319.0,2040.0,4603.0,416.0,1203.0,9665.0,2775.0,0.0,0.0,39.0,0.0,136.0,300.0,964.0,97.0
39129,45333.0,3146.0,3652.0,23489.0,7079.0,7967.0,1361.0,2610.0,17284.0,4167.0,1218.0,1785.0,1042.0,6205.0,2912.0,6749.0,1102.0,2244.0,16246.0,3992.0,0.0,8.0,30.0,0.0,259.0,358.0,1008.0,175.0
39131,22434.0,1607.0,1659.0,10865.0,3862.0,4441.0,574.0,1147.0,7577.0,1703.0,418.0,1033.0,512.0,3288.0,2159.0,4023.0,421.0,810.0,6591.0,1650.0,0.0,0.0,0.0,0.0,153.0,337.0,986.0,53.0
39133,134415.0,12484.0,18639.0,58981.0,21506.0,22805.0,6359.0,14479.0,50074.0,14283.0,4204.0,6125.0,4160.0,8907.0,7223.0,18601.0,4693.0,12867.0,46644.0,13255.0,0.0,6.0,33.0,0.0,1666.0,1606.0,3397.0,1028.0
39135,33060.0,2092.0,2283.0,15739.0,6e3,6946.0,954.0,2017.0,13335.0,3474.0,1050.0,1138.0,266.0,2404.0,2526.0,5896.0,796.0,1759.0,12415.0,3321.0,0.0,0.0,0.0,0.0,158.0,258.0,920.0,153.0
39137,26320.0,1740.0,1970.0,12726.0,4691.0,5193.0,871.0,1698.0,11358.0,3486.0,780.0,869.0,272.0,1368.0,1205.0,4413.0,710.0,1574.0,11081.0,3448.0,0.0,0.0,0.0,0.0,161.0,124.0,277.0,38.0
39139,98513.0,5855.0,7514.0,46623.0,16973.0,21548.0,2674.0,5160.0,34543.0,10058.0,3092.0,3181.0,2354.0,12080.0,6915.0,18456.0,2088.0,4620.0,31473.0,9543.0,0.0,0.0,57.0,0.0,586.0,540.0,3013.0,515.0
39141,62284.0,3543.0,4601.0,32148.0,10560.0,11432.0,1638.0,3329.0,22134.0,5500.0,1333.0,1905.0,1272.0,10014.0,5060.0,10099.0,1012.0,2653.0,19943.0,5200.0,0.0,0.0,18.0,0.0,626.0,676.0,2173.0,300.0
39143,47851.0,3093.0,3495.0,22646.0,8641.0,9976.0,1445.0,2888.0,19081.0,5758.0,1312.0,1648.0,607.0,3565.0,2883.0,8664.0,987.0,2407.0,18032.0,5500.0,0.0,0.0,0.0,0.0,458.0,481.0,1049.0,258.0
39145,62699.0,4168.0,5264.0,30113.0,10486.0,12668.0,1190.0,3174.0,19866.0,5087.0,1243.0,2978.0,2090.0,10247.0,5399.0,11425.0,816.0,2905.0,17793.0,4861.0,18.0,0.0,18.0,0.0,356.0,269.0,2055.0,226.0
39147,44765.0,3565.0,4118.0,20387.0,7878.0,8817.0,1437.0,3032.0,16945.0,5030.0,1125.0,2128.0,1086.0,3442.0,2848.0,7692.0,893.0,2656.0,15857.0,4821.0,0.0,0.0,0.0,0.0,544.0,376.0,1088.0,209.0
39149,37801.0,2829.0,2705.0,18871.0,6493.0,6903.0,1427.0,2197.0,16259.0,4349.0,1109.0,1402.0,508.0,2612.0,2144.0,5794.0,1122.0,1821.0,15513.0,4136.0,0.0,0.0,4.0,0.0,305.0,376.0,742.0,213.0
39151,302373.0,20159.0,23819.0,140095.0,53559.0,64741.0,9286.0,19549.0,117333.0,34973.0,10226.0,10873.0,4270.0,22762.0,18586.0,54515.0,7002.0,16821.0,108402.0,32908.0,0.0,51.0,192.0,18.0,2284.0,2677.0,8739.0,2047.0
39153,437570.0,28421.0,35312.0,212031.0,76620.0,85186.0,12401.0,27958.0,177007.0,50748.0,14158.0,16020.0,7354.0,35024.0,25872.0,71028.0,9034.0,24384.0,163557.0,48061.0,0.0,0.0,76.0,0.0,3367.0,3574.0,13374.0,2687.0
39155,168009.0,9979.0,12226.0,75839.0,31163.0,38802.0,4060.0,9233.0,59980.0,17687.0,4334.0,5919.0,2993.0,15859.0,13476.0,34468.0,3326.0,8086.0,55790.0,16745.0,0.0,0.0,72.0,0.0,734.0,1147.0,4118.0,942.0
39157,73723.0,4518.0,5135.0,34613.0,13309.0,16148.0,2163.0,4289.0,28799.0,8385.0,2458.0,2355.0,846.0,5814.0,4924.0,13690.0,1749.0,3787.0,27018.0,8014.0,0.0,0.0,0.0,0.0,414.0,502.0,1781.0,371.0
39159,41117.0,2710.0,3005.0,23416.0,6232.0,5754.0,1185.0,2170.0,18114.0,4153.0,883.0,1525.0,835.0,5302.0,2079.0,4871.0,1016.0,2025.0,17486.0,3965.0,0.0,0.0,49.0,0.0,169.0,145.0,579.0,188.0
39161,22606.0,1461.0,1615.0,10546.0,3934.0,5050.0,795.0,1324.0,8734.0,2730.0,640.0,666.0,291.0,1812.0,1204.0,4410.0,529.0,1150.0,8214.0,2658.0,0.0,0.0,0.0,0.0,266.0,174.0,520.0,72.0
