County,Precinct,Year
110,31-450,2012
110,31-430,2012
110,32-515,2012
282,35-860,2012
240,39-055,2012
230,32-540,2012
100,34-710,2012
105,34-745,2012
185,40-004,2012
185,40-030,2012
185,40-034,2012
185,40-040,2012
188,40-020,2012
185,40-032,2012
185,40-010,2012
185,40-006,2012
185,40-008,2012
290,39-007,2012
185,40-016,2012
130,33-670,2012
195,32-535,2012
198,33-680,2012
198,34-735,2012
130,33-650,2012
198,34-725,2012
275,33-690,2012
198,33-630,2012
198,34-740,2012
198,34-705,2012
130,33-640,2012
130,33-660,2012
198,34-750,2012
130,33-620,2012
130,33-600,2012
130,33-610,2012
