geoid,nhwa_under18,nhwa_votingAge,aian_under18,aian_votingAge,asian_under18,asian_votingAge,black_under18,black_votingAge,hisp_under18,hisp_votingAge,multi_under18,multi_votingAge,nhpi_under18,nhpi_votingAge,sor_under18,sor_votingAge,white_under18,white_votingAge
05119,38331.0,173348.0,120.0,959.0,1668.0,6487.0,40536.0,98865.0,8553.0,14527.0,4107.0,4325.0,37.0,99.0,1721.0,2624.0,44719.0,184196.0
05121,3742.0,13152.0,2.0,46.0,0.0,5.0,26.0,97.0,122.0,195.0,159.0,181.0,0.0,1.0,49.0,45.0,3801.0,13283.0
05123,2013.0,9260.0,12.0,88.0,22.0,57.0,3815.0,10370.0,152.0,1048.0,206.0,319.0,0.0,13.0,162.0,402.0,2065.0,9814.0
05125,21958.0,77231.0,23.0,341.0,258.0,829.0,2005.0,4634.0,1897.0,2734.0,1174.0,995.0,0.0,58.0,234.0,362.0,23568.0,79352.0
05127,2034.0,7140.0,82.0,94.0,90.0,221.0,3.0,15.0,346.0,468.0,99.0,261.0,0.0,0.0,149.0,129.0,2231.0,7496.0
05129,1484.0,6008.0,3.0,82.0,0.0,87.0,0.0,22.0,83.0,72.0,80.0,57.0,0.0,0.0,0.0,25.0,1557.0,6052.0
05131,18475.0,72354.0,521.0,1219.0,1290.0,4296.0,2265.0,5735.0,6868.0,9904.0,2488.0,2865.0,0.0,123.0,811.0,2050.0,24075.0,79535.0
05133,2178.0,8061.0,71.0,263.0,42.0,50.0,235.0,606.0,2404.0,3154.0,169.0,168.0,0.0,3.0,1744.0,2462.0,2777.0,8678.0
05135,3255.0,12785.0,48.0,95.0,11.0,92.0,25.0,44.0,111.0,223.0,144.0,243.0,10.0,0.0,5.0,18.0,3356.0,12964.0
05137,2358.0,9564.0,16.0,10.0,16.0,14.0,0.0,5.0,69.0,144.0,167.0,154.0,0.0,0.0,0.0,28.0,2425.0,9677.0
05139,5053.0,19931.0,61.0,170.0,59.0,167.0,3731.0,9592.0,614.0,852.0,216.0,272.0,0.0,0.0,0.0,89.0,5615.0,20661.0
05141,3070.0,12852.0,6.0,59.0,2.0,27.0,87.0,64.0,154.0,343.0,108.0,306.0,0.0,0.0,9.0,140.0,3181.0,13013.0
05143,31865.0,125031.0,535.0,1715.0,1275.0,4070.0,2292.0,4893.0,14301.0,20431.0,2656.0,3643.0,2167.0,2496.0,8866.0,11523.0,36785.0,133516.0
05145,15417.0,54284.0,0.0,124.0,72.0,368.0,1201.0,2410.0,1328.0,1881.0,763.0,1044.0,0.0,17.0,290.0,697.0,16315.0,55359.0
05147,973.0,3881.0,0.0,6.0,50.0,27.0,377.0,1492.0,21.0,11.0,105.0,32.0,0.0,6.0,10.0,0.0,989.0,3889.0
05149,3517.0,13077.0,25.0,101.0,88.0,239.0,187.0,409.0,1659.0,2487.0,91.0,147.0,0.0,0.0,1016.0,1635.0,4088.0,13809.0
06001,76649.0,446058.0,1764.0,8049.0,87724.0,351331.0,39520.0,145363.0,110331.0,247837.0,43034.0,54541.0,3087.0,10673.0,36889.0,94450.0,131291.0,577267.0
06003,117.0,608.0,78.0,141.0,0.0,14.0,11.0,0.0,45.0,63.0,25.0,63.0,0.0,16.0,0.0,0.0,137.0,646.0
06005,4065.0,25431.0,86.0,743.0,84.0,454.0,23.0,832.0,1174.0,3610.0,639.0,566.0,0.0,38.0,207.0,1317.0,4698.0,27308.0
06007,27173.0,137041.0,535.0,2018.0,2568.0,7023.0,743.0,2446.0,10920.0,22880.0,5948.0,8173.0,80.0,325.0,1901.0,5396.0,33647.0,151761.0
06009,5902.0,31049.0,96.0,300.0,36.0,366.0,16.0,245.0,1495.0,3472.0,640.0,1175.0,89.0,62.0,110.0,422.0,7203.0,34007.0
06011,1366.0,6651.0,62.0,169.0,24.0,395.0,26.0,125.0,4402.0,7875.0,438.0,301.0,0.0,39.0,494.0,1135.0,5007.0,13181.0
06013,89593.0,414222.0,1490.0,4569.0,34612.0,132603.0,23858.0,73480.0,89939.0,183411.0,30782.0,36535.0,1366.0,4182.0,27983.0,61202.0,140376.0,523030.0
06015,3045.0,14537.0,454.0,1030.0,89.0,511.0,10.0,792.0,1444.0,3856.0,1195.0,1222.0,0.0,79.0,144.0,1014.0,4005.0,17243.0
06017,26585.0,117219.0,324.0,1241.0,1502.0,5697.0,559.0,1227.0,7822.0,14897.0,2720.0,3881.0,53.0,181.0,1946.0,4869.0,31721.0,126172.0
06019,53346.0,244873.0,2641.0,7155.0,26526.0,66973.0,14613.0,33886.0,175634.0,318443.0,17592.0,20788.0,533.0,1477.0,66024.0,128090.0,149889.0,420562.0
06021,2964.0,12101.0,194.0,354.0,212.0,483.0,61.0,210.0,4086.0,7008.0,264.0,415.0,30.0,69.0,531.0,1309.0,6298.0,17599.0
06023,16203.0,86032.0,1961.0,4995.0,1045.0,2518.0,289.0,1427.0,4703.0,9586.0,3124.0,4621.0,96.0,328.0,1439.0,3370.0,18490.0,91331.0
06025,3835.0,18602.0,596.0,1688.0,689.0,2074.0,680.0,4492.0,45231.0,100624.0,3642.0,4785.0,14.0,157.0,8324.0,24760.0,37077.0,89228.0
06027,1674.0,10232.0,575.0,1389.0,32.0,212.0,38.0,158.0,1424.0,2354.0,196.0,165.0,15.0,103.0,51.0,239.0,2920.0,12280.0
06029,64659.0,252389.0,2728.0,7358.0,9671.0,29879.0,14590.0,34431.0,161015.0,280481.0,12245.0,16178.0,405.0,909.0,29365.0,61294.0,186905.0,459778.0
06031,9934.0,41533.0,613.0,1380.0,1120.0,4482.0,1599.0,7798.0,27009.0,52443.0,2875.0,3823.0,138.0,244.0,6238.0,17399.0,29043.0,74246.0
06033,7334.0,39220.0,819.0,1617.0,144.0,682.0,369.0,1073.0,4347.0,7552.0,548.0,1245.0,31.0,171.0,2304.0,4079.0,8905.0,42171.0
06035,3902.0,17624.0,196.0,829.0,8.0,485.0,71.0,2718.0,432.0,5554.0,263.0,834.0,52.0,197.0,64.0,2483.0,4262.0,20183.0
06037,391491.0,2312056.0,13223.0,46117.0,230146.0,1188216.0,178919.0,651872.0,1439012.0,3403307.0,152728.0,237102.0,6956.0,20120.0,577716.0,1388957.0,1162486.0,4183830.0
