name,idealogy_icon,city,state,statewide,headquarters,lat,long,splc_group,splc_ideology
International Keystone Knights of the Ku Klux Klan,kkk,Cedartown,Georgia,0,0,34.01,-85.25,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
New Black Panther Party,black-separatist,Tampa,Florida,0,0,27.95,-82.45,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party"">New Black Panther Party</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
All Eyes On Egypt Bookstore,black-separatist,Macon,Georgia,0,0,32.84,-83.63,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
All Eyes On Egipt Bookstore,black-separatist,Chicago,Illinois,0,0,41.75,-87.58,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Tom Brown Ministries,anti-lgbt,El Paso,Texas,0,1,31.781896,-106.459373,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
Public Advocate of the United States,anti-lgbt,Falls Church,Virginia,0,1,38.848531,-77.139887,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
Counter-Currents Publishing,white-nationalist,San Francisco,California,0,1,37.75,-122.47,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Nation of Islam,black-separatist,New Brunswick,New Jersey,0,0,40.48,-74.45,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Southaven,Mississippi,0,0,34.99,-90.01,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Faith Baptist Church (formerly Sons of Thundr),anti-lgbt,Greenville,Georgia,0,1,33.14,-84.75,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
Political Islam,anti-muslim,Nashville,Tennessee,0,1,36.159543,-86.790958,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim"">Anti-Muslim</a>"
Mission: America,anti-lgbt,Columbus,Ohio,0,1,39.955692,-82.934021,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
Sons of Liberty Media (formerly You Can Run But You Cannot Hide),other,Annandale,Minnesota,0,1,45.261111,-94.124166,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
"United West, The",anti-muslim,Lake Worth,Florida,0,1,26.616755,-80.068447,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim"">Anti-Muslim</a>"
Official Street Preachers,other,Los Angeles,California,0,1,34.079616,-118.258509,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Aggressive Christianity,other,Fence Lake,New Mexico,0,1,34.653454,-108.677664,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Aggressive Christianity,other,Berino,New Mexico,0,0,32.03808,-106.45479,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
American Freedom Party,white-nationalist,Grand Forks,North Dakota,0,0,47.892095,-97.062818,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/american-freedom-party"">American Freedom Party</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
American Freedom Party,white-nationalist,,Indiana,0,0,40.26,-86.13,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/american-freedom-party"">American Freedom Party</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
American Freedom Party,white-nationalist,New York,New York,0,0,40.79,-73.96,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/american-freedom-party"">American Freedom Party</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
National Socialist Movement,neo-nazi,,Louisiana,1,0,30.98,-91.96,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement"">National Socialist Movement</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Christ or Chaos,rad-trad-catholicism,West Chester,Ohio,0,1,39.328237,-84.553667,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/radical-traditional-catholicism"">Radical Traditional Catholicism</a>"
Irving Books,holocaust-denial,Key West,Florida,0,1,24.556163,-81.804721,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/holocaust-denial"">Holocaust Denial</a>"
Ku Klos Knights of the Ku Klux Klan,kkk,Kokomo,Indiana,0,0,40.48,-86.13,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
National Socialist Movement,neo-nazi,,Texas,1,0,31.96,-99.9,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement"">National Socialist Movement</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Masjid al Islam,other,Oakland,California,0,0,37.793681,-122.146219,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
As-Sabiqun,other,Washington,District of Columbia,0,1,38.9,-77.03,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Pace Confederate Depot,neo-confederate,Baldwyn,Mississippi,0,1,34.509544,-88.635331,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate"">Neo-Confederate</a>"
As-Sabiqun,other,Oakland,California,0,0,37.794409,-122.245536,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
As-Sabiqun,other,Philadelphia,Pennsylvania,0,0,39.959811,-75.16074,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
As-Sabiqun,other,Los Angeles,California,0,0,34.065562,-118.309664,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
As-Sabiqun,other,San Diego,California,0,0,32.734895,-117.097059,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
As-Sabiqun,other,Sacramento,California,0,0,38.479999,-121.44,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Jamaat al-Muslimeen,other,Baltimore,Maryland,0,1,39.305668,-76.635495,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Alternative Right,white-nationalist,Atlanta,Georgia,0,1,33.74,-84.38,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Reformation-Bible Puritan-Baptist Church/Vatican Assassins,other,Newmanstown,Pennsylvania,0,1,40.349536,-76.213282,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Confederate Hammerskins,racist-skinhead,Nashville,Tennessee,0,0,36.16,-86.78,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
Supreme White Alliance,racist-skinhead,,Florida,1,0,27.66,-81.51,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
American Nazi Party,neo-nazi,,California,1,0,36.77,-119.41,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Third Reich Books,neo-nazi,Fairbury,Nebraska,0,1,40.14,-97.17,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
South Africa Project,white-nationalist,Converse,Louisiana,0,1,31.78,-93.69,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
H.L. Mencken Club,white-nationalist,Elizabethtown,Pennsylvania,0,1,40.152871,-76.602745,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Pioneer Little Europe Kalispell Montana,white-nationalist,Kalispell,Montana,0,1,48.197778,-114.316111,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Midland hammerskins,racist-skinhead,,South Dakota,1,0,43.96,-99.9,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
Northwest Hammerskins,racist-skinhead,,Idaho,1,0,44.06,-114.74,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
Faith Freedom,anti-muslim,Bellevue,Washington,0,1,47.615043,-122.171757,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim"">Anti-Muslim</a>"
Radio Jihad/Global Patriot Radio,anti-muslim,,New York,1,1,43.29,-74.21,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim"">Anti-Muslim</a>"
Religious Awareness Network,anti-muslim,Washington,District of Columbia,0,1,38.9,-77.03,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim"">Anti-Muslim</a>"
Jihad Watch,anti-muslim,Sherman Oaks,California,0,1,34.2,-118.47,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim"">Anti-Muslim</a>"
Save California,anti-lgbt,Sacramento,California,0,1,38.58,-121.49,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
Sultan Knish a blog by Daniel Greenfield,anti-muslim,New York,New York,0,1,40.721786,-74.009447,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim"">Anti-Muslim</a>"
Windsor Hills Baptist Church,anti-lgbt,Oklahoma City,Oklahoma,0,1,35.481198,-97.660236,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
True Light Pentecost Church,anti-lgbt,Spartanburg,South Carolina,0,1,34.949567,-81.932048,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
Citizen Warrior,anti-muslim,Nashville,Tennessee,0,1,36.17,-86.78,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim"">Anti-Muslim</a>"
Christian Action Network,anti-muslim,Forest,Virginia,0,1,37.36,-79.28,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim"">Anti-Muslim</a>"
Bare Naked Islam,anti-muslim,Marina del Rey,California,0,1,33.980289,-118.451744,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim"">Anti-Muslim</a>"
American Clarion,other,Rapid City,South Dakota,0,1,44.060017,-103.139148,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Silver Bullet Gun Oil,anti-muslim,Courtland,Virginia,0,1,36.716261,-77.068019,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim"">Anti-Muslim</a>"
United Families International,anti-lgbt,Gilbert,Arizona,0,1,33.345996,-111.755609,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
Insight USA,other,Longwood,Florida,0,1,28.690591,-81.408321,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Lordship Church,other,Coeur d'Alene,Idaho,0,1,47.67,-116.78,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Christian Anti-Defamation Commission,other,Vista,California,0,1,33.221773,-117.226056,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Loyal White Knights of the Ku Klux Klan,kkk,Pelham,North Carolina,0,1,36.51,-79.47,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
American Freedom Party,white-nationalist,Lakewood Ranch,Florida,0,0,27.446686,-82.377733,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/american-freedom-party"">American Freedom Party</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Nation of Islam,black-separatist,East Saint Louis,Illinois,0,0,38.62,-90.15,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Harrisburg,Pennsylvania,0,0,40.276554,-76.869213,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Loyal White Knights of the Ku Klux Klan,kkk,Cullman,Alabama,0,0,34.17,-86.84,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
Loyal White Knights of the Ku Klux Klan,kkk,Clay City,Illinois,0,0,38.68,-88.35,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
Loyal White Knights of the Ku Klux Klan,kkk,,South Carolina,1,0,33.83,-81.16,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
