ORI,agency
DE0031000,BETHANY BEACH
DE301SP00,SP: KENT COUNTY
DE302SP00,SP: NEW CASTLE COUNTY
DE303SP00,SP: SUSSEX COUNTY
FL0010000,ALACHUA
FL0010100,GAINESVILLE
FL0010600,UNIVERSITY OF FLORIDA
FL0020000,BAKER
FL0030100,PANAMA CITY
FL0050000,BREVARD
FL0050700,MELBOURNE
FL0051100,TITUSVILLE
FL0051200,PALM BAY
FL0060000,BROWARD
FL0060100,DANIA
FL0060300,FORT LAUDERDALE
FL0060400,HALLANDALE
FL0060700,POMPANO BEACH
FL0060800,PEMBROKE PINES
FL0060900,WILTON MANORS
FL0061100,COCONUT CREEK
FL0061200,DAVIE
FL0062100,MARGATE
FL0062200,MIRAMAR
FL0062400,OAKLAND PARK
FL0062800,CORAL SPRINGS
FL0063400,SEMINOLE TRIBAL
FL0068800,WESTON
FL0080000,CHARLOTTE
FL0100000,CLAY
FL0100100,GREEN COVE SPRINGS
FL0100200,ORANGE PARK
FL0110000,COLLIER
FL0110300,MARCO ISLAND
FL0130000,MIAMI-DADE
FL0130200,CORAL GABLES
FL0130500,HOMESTEAD
FL0130700,MIAMI BEACH
FL0130800,MIAMI SHORES
FL0131000,NORTH MIAMI BEACH
FL0131100,DORAL
FL0131300,SURFSIDE
FL0131700,NORTH BAY VILLAGE
FL0131800,NORTH MIAMI
FL0134300,KEY BISCAYNE
FL0139100,AVENTURA
FL0139200,VILLAGE OF PINECREST
FL0139700,MIAMI GARDENS
FL0160200,JACKSONVILLE
FL0160300,JACKSONVILLE BEACH
FL0170000,ESCAMBIA
FL0170100,PENSACOLA
FL0170400,UNIVERSITY OF WEST FLORI
FL0180000,FLAGLER
FL0260100,CLEWISTON
FL0280000,HIGHLANDS
FL0290000,HILLSBOROUGH
FL0290300,TEMPLE TERRACE
FL0290700,UNIV OF S FL: TAMPA
FL0350000,LAKE
FL0350200,LEESBURG
FL0350300,CLERMONT
FL0351000,MOUNT DORA
FL0360000,LEE
FL0360100,FORT MYERS
FL0360200,CAPE CORAL
FL0370300,TALLAHASSEE
FL0410000,MANATEE
FL0420000,MARION
FL0420100,OCALA
FL0430000,MARTIN
FL0430100,STUART
FL0440100,KEY WEST
FL0460000,OKALOOSA
FL0460200,FORT WALTON BEACH
FL0480000,ORANGE
FL0480100,APOPKA
FL0480300,OCOEE
FL0480400,ORLANDO
FL0480500,WINTER GARDEN
FL0481400,UNIVERSITY OF CENTRAL FL
FL0490000,OSCEOLA
FL0490100,ST. CLOUD
FL0490200,KISSIMMEE
FL0500000,PALM BEACH
FL0500200,BOCA RATON
FL0500300,BOYNTON BEACH
FL0500400,DELRAY BEACH
FL0500500,LAKE WORTH
FL0500800,WEST PALM BEACH
FL0501700,JUPITER
FL0502300,NORTH PALM BEACH
FL0502600,PALM BEACH GARDENS
FL0502800,ROYAL PALM BEACH
FL0504200,PALM BEACH CNTY SCH DIST
FL0505000,LAKE CLARKE SHORES
FL0509500,WELLINGTON
FL0510000,PASCO
FL0510200,NEW PORT RICHEY
FL0510400,PORT RICHEY
FL0520000,PINELLAS
FL0520300,CLEARWATER
FL0520800,LARGO
FL0521100,PINELLAS PARK
FL0521700,INDIAN SHORES
FL0521900,TREASURE ISLAND
FL0529900,SEMINOLE
FL0530000,POLK
FL0530200,BARTOW
FL0531200,LAKELAND
FL0531600,WINTER HAVEN
FL0540000,PUTNAM
FL0550000,ST. JOHNS
FL0560100,FORT PIERCE
FL0560200,PORT ST. LUCIE
FL0570000,SANTA ROSA
FL0570100,MILTON
FL0580100,SARASOTA
FL0580200,VENICE
FL0580300,NORTH PORT
FL0580700,NEW COLLEGE OF FLORIDA
FL0590000,SEMINOLE
FL0590200,CASSELBERRY
