,date,state,religion,sexual_orientation,disability,gender,gender_identity,race_corrected,est_pop,race_religion_ethnicity_enh_penalty,sexual_orientation_enh_penalty,gender_enh_penalty,gender_identity_enh_penalty,disability_enh_penalty,other_enh_penalty,all_count,race_corrected_per_capita,religion_per_capita,sexual_orientation_per_capita,disability_per_capita,gender_per_capita,gender_identity_per_capita,all_count_per_capita
572,2004,New Jersey,318,55,1,,,395.0,8634561,YES,YES,YES,YES,YES,NO,769.0,4.574639058082976e-05,3.682873975874396e-05,6.369750587204144e-06,1.1581364704007535e-07,,,8.906069457381794e-05
573,2004,New Mexico,3,4,0,,,14.0,1903808,YES,YES,YES,YES,YES,YES,21.0,7.3536827243083336e-06,1.5757891552089287e-06,2.101052206945238e-06,0.0,,,1.10305240864625e-05
574,2004,New York,173,36,0,,,177.0,19171567,YES,YES,YES,NO,YES,YES,386.0,9.23242215933627e-06,9.023779850650705e-06,1.877780778170089e-06,0.0,,,2.0133982788157068e-05
575,2004,North Carolina,5,10,0,,,51.0,8553152,YES,NO,YES,NO,NO,NO,66.0,5.962714096510853e-06,5.84579813383417e-07,1.169159626766834e-06,0.0,,,7.716453536661105e-06
576,2004,North Dakota,2,0,0,,,6.0,644705,YES,NO,YES,NO,NO,NO,8.0,9.306582080176204e-06,3.1021940267254014e-06,0.0,0.0,,,1.2408776106901606e-05
577,2004,Ohio,34,57,1,,,261.0,11452251,YES,NO,NO,NO,NO,NO,353.0,2.279027939572753e-05,2.9688486569146975e-06,4.977187454239345e-06,8.731907814454993e-08,,,3.082363458502612e-05
578,2004,Oklahoma,3,4,0,,,44.0,3525233,YES,NO,NO,NO,YES,NO,51.0,1.248144448891747e-05,8.510075787898275e-07,1.13467677171977e-06,0.0,,,1.4467128839427068e-05
579,2004,Oregon,18,32,0,,,105.0,3569463,YES,YES,YES,YES,YES,NO,155.0,2.9416189494049945e-05,5.042775341837133e-06,8.964933941043792e-06,0.0,,,4.342389877693087e-05
580,2004,Pennsylvania,13,18,0,,,74.0,12410722,YES,NO,NO,NO,NO,NO,105.0,5.962586221816909e-06,1.0474813632921598e-06,1.4503588107122213e-06,0.0,,,8.46042639582129e-06
581,2004,Rhode Island,6,7,0,,,16.0,1074579,YES,YES,YES,NO,YES,NO,29.0,1.4889552094355092e-05,5.583582035383159e-06,6.514179041280353e-06,0.0,,,2.6987313171018602e-05
582,2004,South Carolina,11,18,16,,,60.0,4210921,NO,NO,NO,NO,NO,NO,105.0,1.4248664365824009e-05,2.6122551337344014e-06,4.274599309747203e-06,3.799643830886402e-06,,,2.4935162640192015e-05
583,2004,South Dakota,1,2,0,,,4.0,770396,YES,NO,NO,NO,NO,NO,7.0,5.192134953971724e-06,1.298033738492931e-06,2.596067476985862e-06,0.0,,,9.086236169450516e-06
584,2004,Tennessee,12,16,7,,,101.0,5910809,YES,YES,YES,NO,YES,YES,136.0,1.7087339482632582e-05,2.0301789484315937e-06,2.7069052645754584e-06,1.184271053251763e-06,,,2.3008694748891396e-05
585,2004,Texas,36,61,2,,,210.0,22394023,YES,YES,YES,NO,YES,YES,309.0,9.377502202261737e-06,1.607571806102012e-06,2.7239411158950763e-06,8.930954478344512e-08,,,1.379832466904227e-05
586,2004,Utah,9,5,0,,,45.0,2401580,NO,NO,NO,NO,NO,NO,59.0,1.873766437095579e-05,3.7475328741911577e-06,2.0819627078839764e-06,0.0,,,2.456715995303092e-05
587,2004,Vermont,5,5,0,,,18.0,619920,YES,YES,YES,YES,YES,YES,28.0,2.9036004645760743e-05,8.06555684604465e-06,8.06555684604465e-06,0.0,,,4.516711833785005e-05
588,2004,Virginia,44,38,2,,,223.0,7475575,YES,NO,NO,NO,NO,NO,307.0,2.9830481267327264e-05,5.885834868889684e-06,5.0832210231319995e-06,2.6753794858589475e-07,,,4.1067075107934844e-05
589,2004,Washington,16,31,0,,,128.0,6178645,YES,YES,YES,YES,YES,NO,175.0,2.0716516323562853e-05,2.5895645404453566e-06,5.017281297112879e-06,0.0,,,2.8323362161121086e-05
590,2004,West Virginia,2,5,0,,,24.0,1816438,YES,NO,YES,NO,NO,YES,31.0,1.3212672273977972e-05,1.1010560228314978e-06,2.752640057078744e-06,0.0,,,1.7066368353888213e-05
591,2004,Wisconsin,0,10,0,,,27.0,5514026,YES,YES,NO,NO,YES,NO,37.0,4.896603679416818e-06,0.0,1.8135569183025253e-06,0.0,,,6.710160597719343e-06
592,2004,Wyoming,1,0,0,,,3.0,509106,NO,NO,NO,NO,NO,NO,4.0,5.892682466912588e-06,1.9642274889708628e-06,0.0,0.0,,,7.856909955883451e-06
