,date,state,religion,sexual_orientation,disability,gender,gender_identity,race_corrected,est_pop,race_religion_ethnicity_enh_penalty,sexual_orientation_enh_penalty,gender_enh_penalty,gender_identity_enh_penalty,disability_enh_penalty,other_enh_penalty,civil_action_statute_present,data_collection_statute_present,police_training_statute_present,institutional_vandalism_statute_present,cross_burning_statute_present,all_count,race_corrected_per_capita,religion_per_capita,sexual_orientation_per_capita,disability_per_capita,gender_per_capita,gender_identity_per_capita,all_count_per_capita,Number of Participating Agencies,Population Covered,Agencies Submitting Incident Reports,Total Number of Incidents Reported,percent_of_population_covered
511,2005,Louisiana,3.0,1.0,1.0,,,12.0,4576628.0,YES,YES,YES,NO,YES,YES,1.0,1.0,1.0,1.0,1.0,17.0,2.622017782524601e-06,6.555044456311502e-07,2.1850148187705008e-07,2.1850148187705008e-07,,,3.7145251919098516e-06,133,3248124.0,10,17,0.7097199073204115
512,2005,Maine,12.0,21.0,0.0,,,24.0,1318787.0,YES,YES,YES,NO,YES,YES,1.0,1.0,0.0,1.0,0.0,57.0,1.81985415385502e-05,9.0992707692751e-06,1.5923723846231425e-05,0.0,,,4.322153615405672e-05,147,1321505.0,27,57,1.0020609848292408
513,2005,Maryland,52.0,11.0,0.0,,,132.0,5592379.0,YES,YES,YES,YES,YES,NO,0.0,1.0,0.0,1.0,0.0,195.0,2.3603550474672766e-05,9.298368368810485e-06,1.966962539556064e-06,0.0,,,3.486888138303931e-05,150,5600388.0,29,195,1.0014321275435731
514,2005,Massachusetts,53.0,64.0,3.0,,,252.0,6403290.0,YES,YES,NO,YES,YES,NO,1.0,1.0,1.0,1.0,0.0,372.0,3.9354769188963794e-05,8.276995107202704e-06,9.994862016244777e-06,4.6850915701147387e-07,,,5.8095135469422754e-05,267,5665124.0,83,371,0.8847208232018228
515,2005,Michigan,53.0,57.0,5.0,,,525.0,10051137.0,YES,NO,YES,NO,NO,NO,1.0,1.0,0.0,1.0,0.0,640.0,5.223289663647009e-05,5.2730352794912655e-06,5.6710002062453225e-06,4.974561584425722e-07,,,6.367438828064924e-05,597,9997261.0,166,640,0.9946398104015496
516,2005,Minnesota,25.0,27.0,3.0,,,151.0,5119598.0,YES,YES,YES,YES,YES,YES,1.0,1.0,1.0,1.0,0.0,206.0,2.9494503279359047e-05,4.883195907178648e-06,5.273851579752941e-06,5.85983508861438e-07,,,4.023753427515208e-05,302,4922821.0,55,206,0.9615639743589243
517,2005,Missouri,5.0,12.0,0.0,,,61.0,5790300.0,YES,YES,YES,YES,YES,NO,1.0,0.0,0.0,1.0,1.0,78.0,1.0534860024523773e-05,8.635131167642435e-07,2.0724314802341852e-06,0.0,,,1.34708046215222e-05,278,3525724.0,25,78,0.6089017840180992
518,2005,Montana,5.0,7.0,8.0,,,45.0,940102.0,YES,NO,NO,NO,NO,NO,0.0,0.0,0.0,1.0,0.0,65.0,4.786714633093005e-05,5.318571814547783e-06,7.446000540366898e-06,8.509714903276452e-06,,,6.914143358912118e-05,108,935422.0,25,65,0.9950218167815833
519,2005,Nebraska,12.0,10.0,2.0,,,47.0,1761497.0,YES,YES,YES,NO,YES,YES,1.0,1.0,0.0,1.0,0.0,71.0,2.6681850721289906e-05,6.812387418201678e-06,5.676989515168064e-06,1.1353979030336129e-06,,,4.0306625557693255e-05,194,1436768.0,11,71,0.8156516871728989
520,2005,Nevada,14.0,8.0,1.0,,,54.0,2432143.0,YES,YES,YES,YES,YES,YES,1.0,1.0,0.0,1.0,0.0,77.0,2.2202641867686235e-05,5.75624048421495e-06,3.289280276694257e-06,4.1116003458678213e-07,,,3.165932266318222e-05,35,2414807.0,4,77,0.9928721296404035
521,2005,New Hampshire,3.0,8.0,0.0,,,21.0,1298492.0,YES,YES,YES,NO,YES,YES,0.0,0.0,0.0,0.0,0.0,32.0,1.6172606377243756e-05,2.3103723396062508e-06,6.1609929056166704e-06,0.0,,,2.4643971622466682e-05,140,1019459.0,23,32,0.785109958320883
522,2005,New Jersey,281.0,43.0,5.0,,,409.0,8651974.0,YES,YES,YES,YES,YES,NO,1.0,1.0,1.0,1.0,0.0,738.0,4.727244903879739e-05,3.2478137359173755e-05,4.969964079873563e-06,5.779027999852982e-07,,,8.529845327783e-05,513,8717925.0,216,738,1.007622653512366
523,2005,New Mexico,2.0,1.0,0.0,,,15.0,1932274.0,YES,YES,YES,YES,YES,YES,0.0,1.0,1.0,1.0,0.0,18.0,7.762874209351263e-06,1.0350498945801682e-06,5.175249472900841e-07,0.0,,,9.315449051221512e-06,48,1222522.0,3,18,0.6326856336109682
524,2005,New York,88.0,24.0,0.0,,,137.0,19132610.0,YES,YES,YES,NO,YES,YES,1.0,1.0,0.0,1.0,0.0,249.0,7.1605494493432936e-06,4.599477018556276e-06,1.254402823242621e-06,0.0,,,1.3014429291142191e-05,302,7869264.0,43,249,0.41130112410173
525,2005,North Carolina,7.0,10.0,0.0,,,72.0,8705407.0,YES,NO,YES,NO,NO,NO,1.0,0.0,0.0,1.0,1.0,89.0,8.270721862860633e-06,8.040979588892283e-07,1.1487113698417546e-06,0.0,,,1.0223531191591617e-05,436,8457849.0,41,89,0.9715627310704715
526,2005,North Dakota,2.0,1.0,0.0,,,9.0,646089.0,YES,NO,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,12.0,1.392996940050055e-05,3.0955487556667888e-06,1.5477743778333944e-06,0.0,,,1.8573292534000733e-05,71,568522.0,8,12,0.8799437848345971
